KOD WOJ.,WOJEWÓDZTWO,IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,419
2,DOLNOŚLĄSKIE,HANNA,KOBIETA,408
2,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,405
2,DOLNOŚLĄSKIE,MAJA,KOBIETA,343
2,DOLNOŚLĄSKIE,JULIA,KOBIETA,341
2,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,317
2,DOLNOŚLĄSKIE,POLA,KOBIETA,297
2,DOLNOŚLĄSKIE,LAURA,KOBIETA,295
2,DOLNOŚLĄSKIE,MARIA,KOBIETA,284
2,DOLNOŚLĄSKIE,ALICJA,KOBIETA,268
2,DOLNOŚLĄSKIE,LENA,KOBIETA,236
2,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,233
2,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,216
2,DOLNOŚLĄSKIE,AMELIA,KOBIETA,215
2,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,213
2,DOLNOŚLĄSKIE,EMILIA,KOBIETA,212
2,DOLNOŚLĄSKIE,LILIANA,KOBIETA,200
2,DOLNOŚLĄSKIE,IGA,KOBIETA,187
2,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,178
2,DOLNOŚLĄSKIE,KLARA,KOBIETA,171
2,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,170
2,DOLNOŚLĄSKIE,HELENA,KOBIETA,151
2,DOLNOŚLĄSKIE,ANNA,KOBIETA,147
2,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,143
2,DOLNOŚLĄSKIE,NELA,KOBIETA,140
2,DOLNOŚLĄSKIE,MILENA,KOBIETA,139
2,DOLNOŚLĄSKIE,NADIA,KOBIETA,124
2,DOLNOŚLĄSKIE,MIA,KOBIETA,124
2,DOLNOŚLĄSKIE,JAGODA,KOBIETA,123
2,DOLNOŚLĄSKIE,KAJA,KOBIETA,123
2,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,116
2,DOLNOŚLĄSKIE,NATALIA,KOBIETA,116
2,DOLNOŚLĄSKIE,KORNELIA,KOBIETA,109
2,DOLNOŚLĄSKIE,LILIANNA,KOBIETA,108
2,DOLNOŚLĄSKIE,MATYLDA,KOBIETA,95
2,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,91
2,DOLNOŚLĄSKIE,BLANKA,KOBIETA,91
2,DOLNOŚLĄSKIE,SARA,KOBIETA,83
2,DOLNOŚLĄSKIE,RÓŻA,KOBIETA,78
2,DOLNOŚLĄSKIE,NINA,KOBIETA,75
2,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,74
2,DOLNOŚLĄSKIE,ANIELA,KOBIETA,74
2,DOLNOŚLĄSKIE,WERONIKA,KOBIETA,71
2,DOLNOŚLĄSKIE,MARTYNA,KOBIETA,69
2,DOLNOŚLĄSKIE,LIWIA,KOBIETA,67
2,DOLNOŚLĄSKIE,BARBARA,KOBIETA,62
2,DOLNOŚLĄSKIE,NIKOLA,KOBIETA,60
2,DOLNOŚLĄSKIE,AURELIA,KOBIETA,60
2,DOLNOŚLĄSKIE,KALINA,KOBIETA,59
2,DOLNOŚLĄSKIE,ROZALIA,KOBIETA,57
2,DOLNOŚLĄSKIE,BIANKA,KOBIETA,54
2,DOLNOŚLĄSKIE,AGATA,KOBIETA,48
2,DOLNOŚLĄSKIE,ADRIANNA,KOBIETA,47
2,DOLNOŚLĄSKIE,GAJA,KOBIETA,47
2,DOLNOŚLĄSKIE,MARIANNA,KOBIETA,46
2,DOLNOŚLĄSKIE,WANDA,KOBIETA,46
2,DOLNOŚLĄSKIE,ELIZA,KOBIETA,45
2,DOLNOŚLĄSKIE,JOANNA,KOBIETA,43
2,DOLNOŚLĄSKIE,MELANIA,KOBIETA,41
2,DOLNOŚLĄSKIE,SOFIA,KOBIETA,39
2,DOLNOŚLĄSKIE,EWA,KOBIETA,39
2,DOLNOŚLĄSKIE,DIANA,KOBIETA,39
2,DOLNOŚLĄSKIE,IZABELA,KOBIETA,39
2,DOLNOŚLĄSKIE,ZOJA,KOBIETA,38
2,DOLNOŚLĄSKIE,IDA,KOBIETA,37
2,DOLNOŚLĄSKIE,KATARZYNA,KOBIETA,37
2,DOLNOŚLĄSKIE,MAGDALENA,KOBIETA,36
2,DOLNOŚLĄSKIE,DOMINIKA,KOBIETA,34
2,DOLNOŚLĄSKIE,OLIVIA,KOBIETA,34
2,DOLNOŚLĄSKIE,LIDIA,KOBIETA,33
2,DOLNOŚLĄSKIE,KINGA,KOBIETA,31
2,DOLNOŚLĄSKIE,EMMA,KOBIETA,31
2,DOLNOŚLĄSKIE,MARTA,KOBIETA,31
2,DOLNOŚLĄSKIE,PAULINA,KOBIETA,29
2,DOLNOŚLĄSKIE,SOFIIA,KOBIETA,29
2,DOLNOŚLĄSKIE,ELENA,KOBIETA,29
2,DOLNOŚLĄSKIE,URSZULA,KOBIETA,28
2,DOLNOŚLĄSKIE,NEL,KOBIETA,28
2,DOLNOŚLĄSKIE,MILANA,KOBIETA,28
2,DOLNOŚLĄSKIE,JAGNA,KOBIETA,26
2,DOLNOŚLĄSKIE,JAŚMINA,KOBIETA,26
2,DOLNOŚLĄSKIE,STEFANIA,KOBIETA,25
2,DOLNOŚLĄSKIE,APOLONIA,KOBIETA,25
2,DOLNOŚLĄSKIE,DARIA,KOBIETA,24
2,DOLNOŚLĄSKIE,MAŁGORZATA,KOBIETA,24
2,DOLNOŚLĄSKIE,LILA,KOBIETA,24
2,DOLNOŚLĄSKIE,DOROTA,KOBIETA,24
