WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
2,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,381
2,DOLNOŚLĄSKIE,HANNA,KOBIETA,332
2,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,331
2,DOLNOŚLĄSKIE,MAJA,KOBIETA,318
2,DOLNOŚLĄSKIE,POLA,KOBIETA,279
2,DOLNOŚLĄSKIE,JULIA,KOBIETA,267
2,DOLNOŚLĄSKIE,LAURA,KOBIETA,256
2,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,245
2,DOLNOŚLĄSKIE,EMILIA,KOBIETA,216
2,DOLNOŚLĄSKIE,ALICJA,KOBIETA,209
2,DOLNOŚLĄSKIE,KLARA,KOBIETA,205
2,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,204
2,DOLNOŚLĄSKIE,AMELIA,KOBIETA,204
2,DOLNOŚLĄSKIE,LENA,KOBIETA,201
2,DOLNOŚLĄSKIE,MARIA,KOBIETA,198
2,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,185
2,DOLNOŚLĄSKIE,IGA,KOBIETA,173
2,DOLNOŚLĄSKIE,HELENA,KOBIETA,171
2,DOLNOŚLĄSKIE,LILIANA,KOBIETA,157
2,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,151
2,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,147
2,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,135
2,DOLNOŚLĄSKIE,NELA,KOBIETA,132
2,DOLNOŚLĄSKIE,MIA,KOBIETA,128
2,DOLNOŚLĄSKIE,ANNA,KOBIETA,116
2,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,113
2,DOLNOŚLĄSKIE,NADIA,KOBIETA,110
2,DOLNOŚLĄSKIE,LILIANNA,KOBIETA,109
2,DOLNOŚLĄSKIE,JAGODA,KOBIETA,107
2,DOLNOŚLĄSKIE,KORNELIA,KOBIETA,104
2,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,98
2,DOLNOŚLĄSKIE,MILENA,KOBIETA,96
2,DOLNOŚLĄSKIE,NATALIA,KOBIETA,92
2,DOLNOŚLĄSKIE,KAJA,KOBIETA,88
2,DOLNOŚLĄSKIE,BLANKA,KOBIETA,88
2,DOLNOŚLĄSKIE,NINA,KOBIETA,86
2,DOLNOŚLĄSKIE,RÓŻA,KOBIETA,80
2,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,71
2,DOLNOŚLĄSKIE,WERONIKA,KOBIETA,71
2,DOLNOŚLĄSKIE,MATYLDA,KOBIETA,66
2,DOLNOŚLĄSKIE,AURELIA,KOBIETA,63
2,DOLNOŚLĄSKIE,ANIELA,KOBIETA,63
2,DOLNOŚLĄSKIE,SARA,KOBIETA,62
2,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,62
2,DOLNOŚLĄSKIE,ROZALIA,KOBIETA,58
2,DOLNOŚLĄSKIE,BIANKA,KOBIETA,57
2,DOLNOŚLĄSKIE,BARBARA,KOBIETA,56
2,DOLNOŚLĄSKIE,LIWIA,KOBIETA,55
2,DOLNOŚLĄSKIE,GAJA,KOBIETA,54
2,DOLNOŚLĄSKIE,MARTYNA,KOBIETA,53
2,DOLNOŚLĄSKIE,JAŚMINA,KOBIETA,49
